"filename", "language", "JSON with Comments", "CSS", "JavaScript", "SVG", "TypeScript", "JSON", "Markdown", "JavaScript React", "HTML", "comment", "blank", "total"
"/media/kian/Local Disk/HAKEE/my_activity/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"/media/kian/Local Disk/HAKEE/my_activity/package-lock.json", "JSON", 0, 0, 0, 0, 0, 28638, 0, 0, 0, 0, 1, 28639
"/media/kian/Local Disk/HAKEE/my_activity/package.json", "JSON", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"/media/kian/Local Disk/HAKEE/my_activity/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"/media/kian/Local Disk/HAKEE/my_activity/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/media/kian/Local Disk/HAKEE/my_activity/src/APICalls/activityAPICalls.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/media/kian/Local Disk/HAKEE/my_activity/src/App.css", "CSS", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 16, 109
"/media/kian/Local Disk/HAKEE/my_activity/src/App.js", "JavaScript", 0, 0, 343, 0, 0, 0, 0, 0, 0, 5, 26, 374
"/media/kian/Local Disk/HAKEE/my_activity/src/App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyFPQueryController.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyHowToQueryController.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyNotHowToQueryController.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyNotQueryController.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyNotWhatQueryController.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/media/kian/Local Disk/HAKEE/my_activity/src/Controllers/WhyWhatQueryController.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/media/kian/Local Disk/HAKEE/my_activity/src/Handlers.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 6, 72
"/media/kian/Local Disk/HAKEE/my_activity/src/Utils/ColorUtil.js", "JavaScript", 0, 0, 256, 0, 0, 0, 0, 0, 0, 3, 37, 296
"/media/kian/Local Disk/HAKEE/my_activity/src/Utils/EventIcons.ts", "TypeScript", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 12, 157
"/media/kian/Local Disk/HAKEE/my_activity/src/Utils/utils.ts", "TypeScript", 0, 0, 0, 0, 252, 0, 0, 0, 0, 4, 54, 310
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityInstancePane.css", "CSS", 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityInstancePane.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 3, 58
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityPane/ActivityItem.css", "CSS", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityPane/ActivityItem.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 7, 73
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityPane/ActivityListColors.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityPane/ActivityPane.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 5, 51
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityPane/ActivityPane.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/ActivityInstanceVis.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/ActivityInstanceVis.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 246, 0, 5, 30, 281
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventDurationThumb.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventDurationThumb.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 86, 0, 1, 13, 100
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventFilter.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventIconThumb.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/EventIconThumb.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 143, 0, 4, 18, 165
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/LocationOverlay.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 7, 26
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/ScalingTab.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/ScalingTab.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/Shadow.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/TimeAxis.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/TimeAxis.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 19, 138
"/media/kian/Local Disk/HAKEE/my_activity/src/components/ActivityVis/Tooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/ActivityAxiomPane.css", "CSS", 0, 117, 0, 0, 0, 0, 0, 0, 0, 3, 15, 135
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/ActivityAxiomPane.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 8, 177
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/AdjustableTime.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/AdjustableTime.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 59, 0, 16, 10, 85
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/Axiom.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/Axiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 10, 153
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/AxiomCrafter.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 10, 93
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/AxiomCrafter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 102, 0, 1, 9, 112
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/DurationAxiom.css", "CSS", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/DurationAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 84, 0, 1, 10, 95
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionAxiom.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 156, 0, 7, 16, 179
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionORAxiom.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/media/kian/Local Disk/HAKEE/my_activity/src/components/AxiomPane/InteractionORAxiom.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 10, 65
